AXIAL
size              dG [kcal/mol]  std [kcal/mol]
*1CP-1CP           -7.361376673	   0.59751434
 2CP-2CP           -6.837954111	   0.420650096
 3CP-3CP           -16.98613767	   0.363288719
 4CP-4CP           -15.97275335	   0.119502868
 5CP-5CP           -16.35755258	   0.239005736
*6CP-6CP     	   -12.52868069	   0.095602294
*7CP-7CP           -9.416826004	   0.286806883
*8CP-8CP           -7.645793499    0.358508604


LATERAL
size            dG [kcal/mol]  std [kcal/mol]
4CP-4CP   	-3.071223709	0.478011472
5CP-5CP     	-4.696462715	0.592734226
6CP-6CP       	-9.562619503	0.239005736
7CP-7CP      	-10.93929254	0.621414914
8CP-8CP       	-11.80210325	0.521032505
