d[nm]           PMF [kJ/mol]    PMF [kcal/mol]   std[kJ/mol] 	 std[kcal/mol]			
2.438582	-29.53308	-7.058575526	0	        0
2.448365	-35.165937	-8.40486066	0.576136	0.137699809
2.458147	-39.99519	-9.559079828	0.5592484	0.133663576
2.46793	        -43.30145	-10.34929493	0.6693282	0.159973279
2.477712	-45.5338	-10.88283939	0.7806195	0.186572538
2.487494	-46.9633	-11.22449809	1.006678	0.240601816
2.497277	-47.8779	-11.44309273	1.578467	0.377262667
2.507059	-48.38833	-11.56508843	2.186539	0.522595363
2.516841	-48.17676	-11.51452199	2.422705	0.579040392
2.526624	-47.20383	-11.28198614	2.506505	0.599069073
2.536406	-45.62138	-10.90377151	2.597789	0.620886472
2.546188	-43.51382	-10.40005258	2.651065	0.633619742
2.555971	-41.03752	-9.808202677	2.627815	0.628062859
2.565753	-38.410496	-9.180328872	2.611067	0.62405999
2.575535	-35.661255	-8.523244503	2.609402	0.623662046
2.585318	-32.717534	-7.819678298	2.628825	0.628304254
2.5951	        -29.59339083	-7.07299016	2.671873	0.638592973
2.604882	-26.41999	-6.314529159	2.711521	0.648069073
2.614665	-23.553528	-5.629428298	2.728164	0.652046845
2.624447	-20.689661	-4.944947658	2.735962	0.653910612
2.63423	        -18.30062	-4.373953155	2.735095	0.653703394
2.644012	-16.16701	-3.864008126	2.731362	0.652811185
2.653794	-14.41837	-3.446073136	2.731284	0.652792543
2.663577	-12.78332	-3.055286807	2.728077	0.652026052
2.673359	-11.49759	-2.747989962	2.742868	0.655561185
2.683141	-10.15723	-2.427636233	2.730529	0.652612094
2.692924	-9.5802	        -2.289722753	2.725424	0.651391969
2.702706	-9.06501	-2.166589388	2.735263	0.653743547
2.712488	-9.08214	-2.170683556	2.752273	0.657809034
2.722271	-9.28409	-2.218950765	2.798943	0.668963432
2.732053	-9.83596	-2.35085086	2.840543	0.678906071
2.741835	-10.55596	-2.52293499	2.859897	0.683531788
2.751618	-11.39237	-2.722841778	2.833208	0.677152964
2.7614	        -12.14032	-2.901606119	2.817585	0.673418977
2.771183	-12.74166	-3.045329828	2.813142	0.672357075
2.780965	-12.88548	-3.079703633	2.812765	0.672266969
2.790747	-13.05392	-3.119961759	2.816683	0.673203394
2.80053  	-13.16633	-3.146828394	2.814285	0.672630258
2.810312	-13.0594	-3.121271511	2.819728	0.673931166
2.820094	-12.37011	-2.956527247	2.818438	0.673622849
2.829877	-11.4275	-2.73123805	2.83568	        0.677743786
2.839659	-10.36386	-2.477021989	2.849658	0.681084608
2.849441	-9.0149	        -2.154612811	2.847243	0.680507409
2.859224	-7.46567	-1.784337954	2.845996	0.680209369
2.869006	-5.79434	-1.384880497	2.844566	0.679867591
2.878788	-4.10203	-0.9804087	2.849713	0.681097753
2.888571	-2.70143	-0.645657266	2.865958	0.684980402
2.898353	-1.64169	-0.392373327	3.000741	0.717194312
2.908136	0.34682	         0.082891969	3.053938	0.7299087
2.917918	2.3721	         0.566945507	3.031188	0.724471319
2.9277	        4.00919	         0.958219407	3.028242	0.723767208
2.937483	5.30074	         1.266907266	3.028405	0.723806166
2.947265	6.45803	         1.543506214	3.028413	0.723808078
2.957047	7.1327	         1.704756214	3.028412	0.723807839
2.96683	        7.43631	         1.777320746	3.028357	0.723794694
2.976612	7.3743	         1.7625	        3.032514	0.724788241
2.986394	6.95096	         1.661319312	3.03388	        0.725114723
2.996177	6.2884	         1.502963671	3.012424	0.719986616
3.005959	6.64235	         1.587559751	3.055363	0.730249283
3.015741	6.10184	         1.458374761	3.102674	0.741556883
3.025524	5.78961	         1.38375	3.146206	0.751961281
3.035306	5.28437	         1.262994742	3.175572	0.758979924
3.045089	4.65388	         1.112304015	3.21781	        0.769075048
3.054871	3.86248	         0.923154876	3.271016	0.781791587
3.064653	3.0089	         0.719144359	3.292959	0.78703609
3.074436	2.13687	         0.510724187	3.339999	0.79827892
3.084218	1.25484	         0.299913958	3.349304	0.800502868
3.094	         0.33757	0.080681166	3.331967	0.796359226
3.103783	-0.4174	        -0.099760994	3.338492	0.797918738
3.113565	-1.11536	-0.266577438	3.327079	0.795190966
3.123347	-1.61443	-0.385858031	3.318309	0.793094885
3.13313	        -1.96599	-0.469882887	3.313884	0.792037285
3.142912	-2.21821	-0.530164914	3.310306	0.791182122
3.152694	-2.27078	-0.542729446	3.307056	0.790405354
3.162477	-2.20845	-0.527832218	3.305912	0.790131931
3.172259	-2.10191	-0.502368547	3.313476	0.791939771
3.182042	-2.02159	-0.483171606	3.311933	0.791570985
3.191824	-1.678	        -0.401051625	3.306883	0.790364006
3.201606	-1.22869	-0.293663958	3.306701	0.790320507
3.211389	-0.88719	-0.212043499	3.300596	0.788861377
3.221171	-0.52396	-0.125229446	3.300909	0.788936185
3.230953	-0.10679	-0.025523423	3.304679	0.789837237
3.240736	0.34823	         0.083228967	3.314653	0.79222108
3.250518	0.74908	         0.179034417	3.316086	0.792563576
3.2603	        1.2153	         0.290463671	3.326053	0.794945746
3.270083	1.4995	         0.358389101	3.337741	0.797739245
3.279865	1.81135	         0.43292304	3.317708	0.792951243
3.289647	2.24052	         0.535497132	3.316915	0.792761711
3.29943	        2.50486	         0.598675908	3.312481	0.79170196
3.309212	2.86886	         0.685673996	3.317604	0.792926386
3.318995	3.04558	         0.72791109	3.317714	0.792952677
3.328777	3.10598	         0.742347036	3.311143	0.79138217
3.338559	3.28207	         0.784433556	3.31327	        0.791890535
3.348342	3.0107	         0.71957457	3.325725	0.794867352
3.358124	2.81644	         0.673145315	3.312786	0.791774857
3.367906	2.65397	         0.634314054	3.314901	0.792280354
3.377689	2.39258	         0.571840344	3.320812	0.793693117
3.387471	2.15127	         0.51416587	3.315659	0.79246152
3.397253	1.85122	         0.442452199	3.311708	0.791517208
3.407036	1.69734	         0.405673996	3.310513	0.791231597
3.416818	1.82515	         0.436221319	3.354059	0.80163934
3.4266	        1.57767	         0.37707218	3.358376	0.802671128
3.436383	1.40652	         0.336166348	3.353708	0.801555449
3.446165	1.13131	         0.270389579	3.380267	0.807903203
3.455947	0.9764	         0.233365201	3.375637	0.806796606
3.46573	        0.97826	         0.233809751	3.388544	0.809881453
3.475512	0.94004	         0.224674952	3.402414	0.813196463
3.485295	0.97341	         0.232650574	3.412447	0.815594407
3.495077	0.98165	         0.234619981	3.420548	0.817530593
3.504859	1.01888	         0.243518164	3.426428	0.818935946
3.514642	1.11796	         0.267198853	3.425807	0.818787524
3.524424	1.182	         0.28250478	3.422093	0.817899857
3.534206	1.2186	         0.29125239	3.423972	0.818348948
3.543989	1.15297	         0.275566444	3.424666	0.818514818
3.553771	1.07771	         0.257578872	3.408767	0.814714866
3.563553	1.05687	         0.252597992	3.411197	0.81529565
3.573336	0.74819	         0.178821702	3.41218	        0.815530593
3.583118	0.68463	         0.163630497	3.41215	        0.815523423
3.5929	        0.71323	         0.170466061	3.414489	0.816082457
3.602683	0.66405	         0.158711759	3.416647	0.816598231
3.612465	0.64909	         0.155136233	3.418366	0.817009082
3.622248	0.55507	         0.132664914	3.4202	        0.817447419
3.63203	        0.51193	         0.122354207	3.423763	0.818298996
3.641812	0.58314	         0.139373805	3.421623	0.817787524
3.651595	0.59906	         0.143178776	3.42081	        0.817593212
3.661377	0.53993	         0.129046367	3.4187	        0.81708891
3.671159	0.56619	         0.135322658	3.417212	0.81673327
3.680942	0.53178	         0.12709847	3.417451	0.816790392
3.690724	0.60925	         0.145614245	3.418653	0.817077677
3.700506	0.74394	         0.177805927	3.428983	0.819546606
3.710289	0.89206	         0.213207457	3.434168	0.820785851
3.720071	1.03244	         0.246759082	3.426643	0.818987333
3.729853	1.13929	         0.272296845	3.423373	0.818205784
3.739636	1.17939	         0.281880975	3.425669	0.818754541
3.749418	1.13502	         0.271276291	3.424775	0.81854087
3.759201	1.09364	         0.261386233	3.422382	0.817968929
3.768983	1.06386	         0.254268642	3.425884	0.818805927
3.778765	0.94348	         0.225497132	3.437303	0.821535134
3.788548	0.91082	         0.217691205	3.428426	0.81941348
3.79833	        0.83946	         0.200635755	3.411504	0.815369025
3.808112	0.81085	         0.193797801	3.409781	0.814957218
3.817895	0.75575	         0.180628585	3.416926	0.816664914
3.827677	0.75158	         0.179631931	3.421714	0.817809273
3.837459	0.69444	         0.165975143	3.420815	0.817594407
3.847242	0.5148	         0.123040153	3.418043	0.816931883
3.857024	0.26538	         0.063427342	3.413704	0.815894837
3.866806	0.07164	         0.017122371	3.42034	        0.81748088
3.876589	0.90723	         0.216833174	3.413084	0.815746654
3.886371	1.19509	         0.285633365	3.428204	0.819360421
3.896154	1.14179	         0.272894359	3.440533	0.822307122
3.905936	1.18801	         0.283941205	3.423829	0.818314771
3.915718	1.19177	         0.284839866	3.42655	        0.818965105
3.925501	1.05886	         0.253073614	3.427119	0.819101099
3.935283	0.93708	         0.223967495	3.437295	0.821533222
3.945065	0.80812	         0.193145315	3.437657	0.821619742
3.954848	0.65314	         0.156104207	3.450798	0.824760516
3.96463 	0.49729 	0.118855163	3.450143	0.824603967
3.974412	0.34599 	0.082693595	3.446294	0.823684034
3.984195	0.14343 	0.034280593	3.451573	0.824945746
3.993977	-0.01488	-0.003556405	3.437463	0.821573375
4.003759	-0.13174	-0.031486616	3.434943	0.82097108
4.013542	-0.212  	 -0.050669216	3.455325	0.825842495
4.023324	-0.1795 	-0.04290153	3.453796	0.825477055
4.033107	-0.12198	-0.02915392	3.450351	0.824653681
4.042889	-0.11963	-0.028592256	3.449724	0.824503824
4.052671	-0.06785	-0.016216539	3.44757 	0.823989006
4.062454	0.07607 	0.018181166	3.445621	0.823523184
4.072236	-0.08127	-0.019423996	3.444453	0.823244025
4.082018	-0.00984	-0.002351816	3.447221	0.823905593
4.091801	0.25479 	0.060896272	3.444277	0.82320196
4.101583	0.21584 	0.051586998	3.450795	0.824759799
4.111365	0.19447 	0.046479446	3.447233	0.823908461
4.121148	0.08492 	0.020296367	3.447509	0.823974426
4.13093 	0.04217 	0.010078872	3.450788	0.824758126
4.140712	0	0	3.448961	0.824321463
